hsd_id,platform,owner,root_cause,related_case_count,owner_agreement,rca_agreement,validation_signals,consensus_score,suggested_tier,blockers,recommendation
14025434523,UNKNOWN,anjaliya,,37,No,Yes,1,100,SILVER,OWNER_DISAGREEMENT;PLATFORM_UNRESOLVED,REVIEW
14025434527,UNKNOWN,rbalaji,,26,No,Yes,1,100,SILVER,OWNER_DISAGREEMENT;PLATFORM_UNRESOLVED,REVIEW
14025434528,UNKNOWN,anjaliya,,26,No,Yes,1,100,SILVER,OWNER_DISAGREEMENT;PLATFORM_UNRESOLVED,REVIEW
14027098533,UNKNOWN,rbalaji,,14,No,Yes,1,100,SILVER,OWNER_DISAGREEMENT;PLATFORM_UNRESOLVED,REVIEW
14027184382,UNKNOWN,rbalaji,,17,No,Yes,1,100,SILVER,OWNER_DISAGREEMENT;PLATFORM_UNRESOLVED,REVIEW
14027184398,UNKNOWN,rbalaji,,17,No,Yes,1,100,SILVER,OWNER_DISAGREEMENT;PLATFORM_UNRESOLVED,REVIEW
14027187022,UNKNOWN,rbalaji,,17,No,Yes,1,100,SILVER,OWNER_DISAGREEMENT;PLATFORM_UNRESOLVED,REVIEW
14027187037,UNKNOWN,rbalaji,,17,No,Yes,1,100,SILVER,OWNER_DISAGREEMENT;PLATFORM_UNRESOLVED,REVIEW
15017291534,GNR,panlijun,,24,No,Yes,1,100,SILVER,OWNER_DISAGREEMENT,REVIEW
15017291873,GNR,xzhan26,,21,No,Yes,1,100,SILVER,OWNER_DISAGREEMENT,REVIEW
15017297035,GNR,jinwang4,,16,No,Yes,1,100,SILVER,OWNER_DISAGREEMENT,REVIEW
15017320024,GNR,jinwang4,,15,No,Yes,1,100,SILVER,OWNER_DISAGREEMENT,REVIEW
15017328835,GNR,jinwang4,,22,No,Yes,1,100,SILVER,OWNER_DISAGREEMENT,REVIEW
22019684757,UNKNOWN,jquianzo,,14,No,Yes,1,100,SILVER,OWNER_DISAGREEMENT;PLATFORM_UNRESOLVED,REVIEW
22019741379,UNKNOWN,vimarti,,14,No,Yes,1,100,SILVER,OWNER_DISAGREEMENT;PLATFORM_UNRESOLVED,REVIEW
15017319975,GNR,jinwang4,,6,No,Yes,1,80,SILVER,OWNER_DISAGREEMENT,REVIEW
14023010765,GNR,srkeesar,,1,Yes,Yes,1,15,BRONZE,,RANK_ONLY
13010785698,GNR,jadelaoy,,0,Yes,Yes,0,0,BRONZE,,RANK_ONLY
13010785700,GNR,dtoralva,,0,Yes,Yes,0,0,BRONZE,,RANK_ONLY
13010785701,GNR,dtoralva,,0,Yes,Yes,0,0,BRONZE,,RANK_ONLY
13010785702,GNR,dtoralva,,0,Yes,Yes,0,0,BRONZE,,RANK_ONLY
13010788085,GNR,jadelaoy,,0,Yes,Yes,0,0,BRONZE,,RANK_ONLY
13010788087,GNR,jadelaoy,,0,Yes,Yes,0,0,BRONZE,,RANK_ONLY
13010788089,GNR,jadelaoy,,0,Yes,Yes,0,0,BRONZE,,RANK_ONLY
13010788090,GNR,jadelaoy,,0,Yes,Yes,0,0,BRONZE,,RANK_ONLY
13010788091,GNR,jadelaoy,,0,Yes,Yes,0,0,BRONZE,,RANK_ONLY
13010788093,GNR,jadelaoy,,0,Yes,Yes,0,0,BRONZE,,RANK_ONLY
13011141637,SRF,jessielu,,0,Yes,Yes,0,0,BRONZE,,RANK_ONLY
13011141638,SRF,linmatt2,,0,Yes,Yes,0,0,BRONZE,,RANK_ONLY
13011141639,SRF,linmatt2,,0,Yes,Yes,0,0,BRONZE,,RANK_ONLY
13011141640,SRF,linmatt2,,0,Yes,Yes,0,0,BRONZE,,RANK_ONLY
13011141641,SRF,linmatt2,,0,Yes,Yes,0,0,BRONZE,,RANK_ONLY
13011141643,SRF,ptonongi,,0,Yes,Yes,0,0,BRONZE,,RANK_ONLY
13011141645,SRF,ptonongi,,0,Yes,Yes,0,0,BRONZE,,RANK_ONLY
13011141647,SRF,jessielu,,0,Yes,Yes,0,0,BRONZE,,RANK_ONLY
13013364737,UNKNOWN,shashish,,0,Yes,Yes,0,0,BRONZE,PLATFORM_UNRESOLVED,REVIEW
13013365077,UNKNOWN,shashish,,0,Yes,Yes,0,0,BRONZE,PLATFORM_UNRESOLVED,REVIEW
13013365080,UNKNOWN,shashish,,0,Yes,Yes,0,0,BRONZE,PLATFORM_UNRESOLVED,REVIEW
13013368252,UNKNOWN,shashish,,0,Yes,Yes,0,0,BRONZE,PLATFORM_UNRESOLVED,REVIEW
13013368254,UNKNOWN,shashish,,0,Yes,Yes,0,0,BRONZE,PLATFORM_UNRESOLVED,REVIEW
13013368257,UNKNOWN,shashish,,0,Yes,Yes,0,0,BRONZE,PLATFORM_UNRESOLVED,REVIEW
13013925864,GNR,gm,,0,Yes,Yes,0,0,BRONZE,,RANK_ONLY
14018914786,GNR,kvannam,,0,Yes,Yes,1,0,BRONZE,,RANK_ONLY
14019749216,SRF,kjgalanc,,0,Yes,Yes,0,0,BRONZE,,RANK_ONLY
14021914647,UNKNOWN,vimarti,,0,Yes,Yes,0,0,BRONZE,PLATFORM_UNRESOLVED,REVIEW
14021933048,UNKNOWN,jquianzo,,0,Yes,Yes,0,0,BRONZE,PLATFORM_UNRESOLVED,REVIEW
14021933054,UNKNOWN,jquianzo,,0,Yes,Yes,0,0,BRONZE,PLATFORM_UNRESOLVED,REVIEW
14022048858,UNKNOWN,vimarti,,0,Yes,Yes,0,0,BRONZE,PLATFORM_UNRESOLVED,REVIEW
14023830004,CWF,,,0,Yes,Yes,0,0,BRONZE,,RANK_ONLY
14023830786,CWF,gmuppala,,0,Yes,Yes,1,0,BRONZE,,RANK_ONLY
14023831173,CWF,vhosaman,,0,Yes,Yes,0,0,BRONZE,,RANK_ONLY
14024543321,UNKNOWN,gokulakr,,0,Yes,Yes,0,0,BRONZE,PLATFORM_UNRESOLVED,REVIEW
14024711200,GNR,jmmorto,,0,Yes,Yes,1,0,BRONZE,,RANK_ONLY
14025188490,UNKNOWN,rjogina,,0,Yes,Yes,0,0,BRONZE,PLATFORM_UNRESOLVED,REVIEW
14025434483,UNKNOWN,ks,,0,Yes,Yes,0,0,BRONZE,PLATFORM_UNRESOLVED,REVIEW
14027087976,UNKNOWN,rbalaji,,0,Yes,Yes,0,0,BRONZE,PLATFORM_UNRESOLVED,REVIEW
14027098529,UNKNOWN,rbalaji,,0,Yes,Yes,0,0,BRONZE,PLATFORM_UNRESOLVED,REVIEW
14027098531,UNKNOWN,rbalaji,,0,Yes,Yes,0,0,BRONZE,PLATFORM_UNRESOLVED,REVIEW
14027098532,UNKNOWN,rbalaji,,0,Yes,Yes,0,0,BRONZE,PLATFORM_UNRESOLVED,REVIEW
14027147092,UNKNOWN,rbalaji,,0,Yes,Yes,0,0,BRONZE,PLATFORM_UNRESOLVED,REVIEW
14028545372,UNKNOWN,,,0,Yes,Yes,0,0,BRONZE,PLATFORM_UNRESOLVED,REVIEW
22019703105,UNKNOWN,vimarti,,0,Yes,Yes,0,0,BRONZE,PLATFORM_UNRESOLVED,REVIEW
22019783231,UNKNOWN,vimarti,,0,Yes,Yes,0,0,BRONZE,PLATFORM_UNRESOLVED,REVIEW
22019799080,UNKNOWN,vimarti,,0,Yes,Yes,0,0,BRONZE,PLATFORM_UNRESOLVED,REVIEW
