HSD_ID,Platform,Owner,Root_Cause,EvidenceScore,ConsensusScore,ValidationSignals,AttachmentQuality,ClosureQuality,Confidence,ReferenceRank,ReferenceStatus,Limitations
14025015656,UNKNOWN,anjaliya,,50,100,1,0,0,85,24,REFERENCE_ONLY,REFERENCE_ONLY;BLOCKERS_PRESENT;PLATFORM_UNRESOLVED
14025434523,UNKNOWN,anjaliya,,50,100,1,0,0,85,25,REFERENCE_ONLY,REFERENCE_ONLY;BLOCKERS_PRESENT;PLATFORM_UNRESOLVED
14025434527,UNKNOWN,rbalaji,,50,100,1,0,0,85,26,REFERENCE_ONLY,REFERENCE_ONLY;BLOCKERS_PRESENT;PLATFORM_UNRESOLVED
14025434528,UNKNOWN,anjaliya,,50,100,1,0,0,85,27,REFERENCE_ONLY,REFERENCE_ONLY;BLOCKERS_PRESENT;PLATFORM_UNRESOLVED
14027098533,UNKNOWN,rbalaji,,50,100,1,0,0,85,28,REFERENCE_ONLY,REFERENCE_ONLY;BLOCKERS_PRESENT;PLATFORM_UNRESOLVED
14027184382,UNKNOWN,rbalaji,,50,100,1,0,0,85,29,REFERENCE_ONLY,REFERENCE_ONLY;BLOCKERS_PRESENT;PLATFORM_UNRESOLVED
14027184398,UNKNOWN,rbalaji,,50,100,1,0,0,85,30,REFERENCE_ONLY,REFERENCE_ONLY;BLOCKERS_PRESENT;PLATFORM_UNRESOLVED
14027187022,UNKNOWN,rbalaji,,50,100,1,0,0,85,31,REFERENCE_ONLY,REFERENCE_ONLY;BLOCKERS_PRESENT;PLATFORM_UNRESOLVED
14027187037,UNKNOWN,rbalaji,,50,100,1,0,0,85,32,REFERENCE_ONLY,REFERENCE_ONLY;BLOCKERS_PRESENT;PLATFORM_UNRESOLVED
15017291534,GNR,panlijun,,50,100,1,0,0,85,33,REFERENCE_ONLY,REFERENCE_ONLY;BLOCKERS_PRESENT
15017291873,GNR,xzhan26,,50,100,1,0,0,85,34,REFERENCE_ONLY,REFERENCE_ONLY;BLOCKERS_PRESENT
15017297035,GNR,jinwang4,,50,100,1,0,0,85,35,REFERENCE_ONLY,REFERENCE_ONLY;BLOCKERS_PRESENT
15017320024,GNR,jinwang4,,50,100,1,0,0,85,36,REFERENCE_ONLY,REFERENCE_ONLY;BLOCKERS_PRESENT
15017328835,GNR,jinwang4,,50,100,1,0,0,85,37,REFERENCE_ONLY,REFERENCE_ONLY;BLOCKERS_PRESENT
22019684757,UNKNOWN,jquianzo,,50,100,1,0,0,85,38,REFERENCE_ONLY,REFERENCE_ONLY;BLOCKERS_PRESENT;PLATFORM_UNRESOLVED
22019741379,UNKNOWN,vimarti,,50,100,1,0,0,85,39,REFERENCE_ONLY,REFERENCE_ONLY;BLOCKERS_PRESENT;PLATFORM_UNRESOLVED
15017319975,GNR,jinwang4,,40,80,1,0,0,71,40,REFERENCE_ONLY,REFERENCE_ONLY;BLOCKERS_PRESENT
14023010765,GNR,srkeesar,,15,15,1,0,0,25,41,REFERENCE_ONLY,REFERENCE_ONLY
14018914786,GNR,kvannam,,10,0,1,0,0,15,42,REFERENCE_ONLY,REFERENCE_ONLY
14023830786,CWF,gmuppala,,10,0,1,0,0,15,43,REFERENCE_ONLY,REFERENCE_ONLY
14024711200,GNR,jmmorto,,10,0,1,0,0,15,44,REFERENCE_ONLY,REFERENCE_ONLY
13010785698,GNR,jadelaoy,,10,0,0,0,0,10,45,REFERENCE_ONLY,REFERENCE_ONLY
13010785700,GNR,dtoralva,,10,0,0,0,0,10,46,REFERENCE_ONLY,REFERENCE_ONLY
13010785701,GNR,dtoralva,,10,0,0,0,0,10,47,REFERENCE_ONLY,REFERENCE_ONLY
13010785702,GNR,dtoralva,,10,0,0,0,0,10,48,REFERENCE_ONLY,REFERENCE_ONLY
13010788085,GNR,jadelaoy,,10,0,0,0,0,10,49,REFERENCE_ONLY,REFERENCE_ONLY
13010788087,GNR,jadelaoy,,10,0,0,0,0,10,50,REFERENCE_ONLY,REFERENCE_ONLY
