hsd_id,platform,owner,root_cause,evidence_score,validation_score,golden_score,suggested_tier,confidence,evidence_found,validation_found,blockers,recommendation
13011141643,SRF,ptonongi,,20,0,20,BRONZE,20,ATTACHMENTS;OWNER,,,RANK_ONLY
13011141645,SRF,ptonongi,,20,0,20,BRONZE,20,ATTACHMENTS;OWNER,,,RANK_ONLY
13011141646,SRF,jessielu,,20,0,20,BRONZE,20,ATTACHMENTS;OWNER,,,RANK_ONLY
13011141647,SRF,jessielu,,20,0,20,BRONZE,20,ATTACHMENTS;OWNER,,,RANK_ONLY
14023430059,CWF,vseethar,,20,0,20,BRONZE,20,ATTACHMENTS;OWNER,,,RANK_ONLY
14023779609,CWF,gmuppala,,20,0,20,BRONZE,20,ATTACHMENTS;OWNER,,,RANK_ONLY
14023831173,CWF,vhosaman,,20,0,20,BRONZE,20,ATTACHMENTS;OWNER,,,RANK_ONLY
14023960264,CWF,gmuppala,,20,0,20,BRONZE,20,ATTACHMENTS;OWNER,,,RANK_ONLY
13013364737,UNKNOWN,shashish,,20,0,-10,BRONZE,0,ATTACHMENTS;OWNER,,PLATFORM_CONFLICT,REVIEW
13013365077,UNKNOWN,shashish,,20,0,-10,BRONZE,0,ATTACHMENTS;OWNER,,PLATFORM_CONFLICT,REVIEW
13013365080,UNKNOWN,shashish,,20,0,-10,BRONZE,0,ATTACHMENTS;OWNER,,PLATFORM_CONFLICT,REVIEW
13013365493,UNKNOWN,shashish,,20,0,-10,BRONZE,0,ATTACHMENTS;OWNER,,PLATFORM_CONFLICT,REVIEW
13013365497,UNKNOWN,hkuzhicx,,20,0,-10,BRONZE,0,ATTACHMENTS;OWNER,,PLATFORM_CONFLICT,REVIEW
13013367911,UNKNOWN,shashish,,20,0,-10,BRONZE,0,ATTACHMENTS;OWNER,,PLATFORM_CONFLICT,REVIEW
13013368252,UNKNOWN,shashish,,20,0,-10,BRONZE,0,ATTACHMENTS;OWNER,,PLATFORM_CONFLICT,REVIEW
13013368254,UNKNOWN,shashish,,20,0,-10,BRONZE,0,ATTACHMENTS;OWNER,,PLATFORM_CONFLICT,REVIEW
13013368257,UNKNOWN,shashish,,20,0,-10,BRONZE,0,ATTACHMENTS;OWNER,,PLATFORM_CONFLICT,REVIEW
13014085149,UNKNOWN,ryakkati,,20,0,-10,BRONZE,0,ATTACHMENTS;OWNER,,PLATFORM_CONFLICT,REVIEW
14021914647,UNKNOWN,vimarti,,20,0,-10,BRONZE,0,ATTACHMENTS;OWNER,,PLATFORM_CONFLICT,REVIEW
14021933048,UNKNOWN,jquianzo,,20,0,-10,BRONZE,0,ATTACHMENTS;OWNER,,PLATFORM_CONFLICT,REVIEW
14021933054,UNKNOWN,jquianzo,,20,0,-10,BRONZE,0,ATTACHMENTS;OWNER,,PLATFORM_CONFLICT,REVIEW
14022039307,UNKNOWN,vimarti,,20,0,-10,BRONZE,0,ATTACHMENTS;OWNER,,PLATFORM_CONFLICT,REVIEW
14022048858,UNKNOWN,vimarti,,20,0,-10,BRONZE,0,ATTACHMENTS;OWNER,,PLATFORM_CONFLICT,REVIEW
14027087976,UNKNOWN,rbalaji,,20,0,-10,BRONZE,0,ATTACHMENTS;OWNER,,PLATFORM_CONFLICT,REVIEW
14027098529,UNKNOWN,rbalaji,,20,0,-10,BRONZE,0,ATTACHMENTS;OWNER,,PLATFORM_CONFLICT,REVIEW
14027098531,UNKNOWN,rbalaji,,20,0,-10,BRONZE,0,ATTACHMENTS;OWNER,,PLATFORM_CONFLICT,REVIEW
14027098532,UNKNOWN,rbalaji,,20,0,-10,BRONZE,0,ATTACHMENTS;OWNER,,PLATFORM_CONFLICT,REVIEW
14027098533,UNKNOWN,rbalaji,,20,0,-10,BRONZE,0,ATTACHMENTS;OWNER,,PLATFORM_CONFLICT,REVIEW
14027147092,UNKNOWN,rbalaji,,20,0,-10,BRONZE,0,ATTACHMENTS;OWNER,,PLATFORM_CONFLICT,REVIEW
