HSD_ID,Platform,Owner,RootCause,EvidenceScore,ValidationScore,ConsensusScore,GoldenScore,SuggestedTier,Confidence,Blockers,Recommendation
13013364737,UNKNOWN,shashish,,10,0,0,-20,BRONZE,0,PLATFORM_UNRESOLVED,REVIEW
13013365077,UNKNOWN,shashish,,10,0,0,-20,BRONZE,0,PLATFORM_UNRESOLVED,REVIEW
13013365080,UNKNOWN,shashish,,10,0,0,-20,BRONZE,0,PLATFORM_UNRESOLVED,REVIEW
13013368252,UNKNOWN,shashish,,10,0,0,-20,BRONZE,0,PLATFORM_UNRESOLVED,REVIEW
13013368254,UNKNOWN,shashish,,10,0,0,-20,BRONZE,0,PLATFORM_UNRESOLVED,REVIEW
13013368257,UNKNOWN,shashish,,10,0,0,-20,BRONZE,0,PLATFORM_UNRESOLVED,REVIEW
14021914647,UNKNOWN,vimarti,,10,0,0,-20,BRONZE,0,PLATFORM_UNRESOLVED,REVIEW
14021933048,UNKNOWN,jquianzo,,10,0,0,-20,BRONZE,0,PLATFORM_UNRESOLVED,REVIEW
14021933054,UNKNOWN,jquianzo,,10,0,0,-20,BRONZE,0,PLATFORM_UNRESOLVED,REVIEW
14022048858,UNKNOWN,vimarti,,10,0,0,-20,BRONZE,0,PLATFORM_UNRESOLVED,REVIEW
14024543321,UNKNOWN,gokulakr,,10,0,0,-20,BRONZE,0,PLATFORM_UNRESOLVED,REVIEW
14025188490,UNKNOWN,rjogina,,10,0,0,-20,BRONZE,0,PLATFORM_UNRESOLVED,REVIEW
14025434483,UNKNOWN,ks,,10,0,0,-20,BRONZE,0,PLATFORM_UNRESOLVED,REVIEW
14027087976,UNKNOWN,rbalaji,,10,0,0,-20,BRONZE,0,PLATFORM_UNRESOLVED,REVIEW
14027098529,UNKNOWN,rbalaji,,10,0,0,-20,BRONZE,0,PLATFORM_UNRESOLVED,REVIEW
14027098531,UNKNOWN,rbalaji,,10,0,0,-20,BRONZE,0,PLATFORM_UNRESOLVED,REVIEW
14027098532,UNKNOWN,rbalaji,,10,0,0,-20,BRONZE,0,PLATFORM_UNRESOLVED,REVIEW
14027147092,UNKNOWN,rbalaji,,10,0,0,-20,BRONZE,0,PLATFORM_UNRESOLVED,REVIEW
22019703105,UNKNOWN,vimarti,,10,0,0,-20,BRONZE,0,PLATFORM_UNRESOLVED,REVIEW
22019783231,UNKNOWN,vimarti,,10,0,0,-20,BRONZE,0,PLATFORM_UNRESOLVED,REVIEW
22019799080,UNKNOWN,vimarti,,10,0,0,-20,BRONZE,0,PLATFORM_UNRESOLVED,REVIEW
14028545372,UNKNOWN,,,0,0,0,-30,BRONZE,0,PLATFORM_UNRESOLVED,REVIEW
