id,priority,status_reason,suspect_area,platform,codename,product_found,submitted_date,title,hsd_link
14028100885,p2-high,open.root_caused,operating_system,Oak Stream DMR Platforms,DMR,Johnson City AP,06/22/2026,"[DMR][BugNinja][DM][APX] #GP / SIGSEGV in sandstone AMX + hammer-ng C6P with APX binaries under hammer-unified",https://hsdes.intel.com/appstore/article/#/14028100885
14028100483,p2-high,open.assigned,unknown,Oak Stream DMR Platforms,DMR,Johnson City AP,06/22/2026,"[ATSCALE-CLUSTER][DMR UCC][cs16ca101hs0307][EDAC] CE and UCE and Scrub errors during AtScale: Warm Reset + Sandstone",https://hsdes.intel.com/appstore/article/#/14028100483
14028099253,p2-high,open.assigned,unknown,Oak Stream DMR Platforms,DMR,Johnson City AP,06/22/2026,"[VV][DMR UCC][sr48dml024s0103][MCE Without Reboot] McBank 11 class UCNA MSCOD phoenix_undeterminable during AtScale: Cold Reset + Sandstone",https://hsdes.intel.com/appstore/article/#/14028099253
15019338704,p2-high,open.transferred,operating_system,Oak Stream DMR Platforms,DMR,Johnson City AP,04/27/2026,"[DMR X4][DM][BugNinja] page fault in clear_page_erms while running ras-unified",https://hsdes.intel.com/appstore/article/#/15019338704
14026028704,p2-high,open.new,unknown,Oak Stream DMR Platforms,DMR,Johnson City AP,10/07/2025,"[MSS][PAIV.RTFS][FLEX DMR C0][fl31ca106ls0304] MCE McBank 0x6 class FATAL MSCOD 1a00 during Sandstone Release DMR-PG025.1504",https://hsdes.intel.com/appstore/article/#/14026028704
14025679753,p2-high,open.new,unknown,Oak Stream DMR Platforms,DMR,Johnson City AP,08/05/2025,"[MSS][PAIV.Serial_IO][FLEX DMR C0] MCE Machine Check Bank 4 Status 0xFA0000000002040C during Cross product stress - Sandstone cache stress + MLC CHA stress",https://hsdes.intel.com/appstore/article/#/14025679753
14025679752,p2-high,open.new,unknown,Oak Stream DMR Platforms,DMR,Johnson City AP,08/05/2025,"[MSS][PAIV.Serial_IO][FLEX DMR C0] MCE Machine Check Bank 6 Status 0xFA0000040C000402 during Cross product stress - Sandstone cache stress + MLC CHA stress",https://hsdes.intel.com/appstore/article/#/14025679752
14025679751,p2-high,open.new,unknown,Oak Stream DMR Platforms,DMR,Johnson City AP,08/05/2025,"[MSS][PAIV.Serial_IO][FLEX DMR C0] IERR CPU Error Occurred during Cross product stress - Sandstone cache stress + MLC CHA stress",https://hsdes.intel.com/appstore/article/#/14025679751
22021462439,p2-high,open.new,unknown,Oak Stream DMR Platforms,DMR,Johnson City AP,08/05/2025,"[MSS][PAIV.Serial_IO][FLEX DMR C0] IERR CPU Error Occurred during Cross product stress - Sandstone cache stress + MLC CHA stress",https://hsdes.intel.com/appstore/article/#/22021462439
14025652535,p2-high,open.new,unknown,Oak Stream DMR Platforms,DMR,Johnson City AP,07/31/2025,"[MSS][PAIV.Serial_IO][FLEX DMR C0] IERR CPU Error Occurred during Cross product stress - Sandstone lock stress + MLC CHA stress",https://hsdes.intel.com/appstore/article/#/14025652535
14025652534,p2-high,open.new,unknown,Oak Stream DMR Platforms,DMR,Johnson City AP,07/31/2025,"[MSS][PAIV.Serial_IO][FLEX DMR C0] MCE Machine Check Bank 3 Status 0xBE000000E1840400 during Cross product stress - Sandstone lock stress + MLC CHA stress",https://hsdes.intel.com/appstore/article/#/14025652534
14025652533,p2-high,open.new,unknown,Oak Stream DMR Platforms,DMR,Johnson City AP,07/31/2025,"[MSS][PAIV.Serial_IO][FLEX DMR C0] MCERR CPU Error Occurred during Cross product stress - Sandstone lock stress + MLC CHA stress",https://hsdes.intel.com/appstore/article/#/14025652533
14025652532,p2-high,open.new,unknown,Oak Stream DMR Platforms,DMR,Johnson City AP,07/31/2025,"[MSS][PAIV.Serial_IO][FLEX DMR C0] MCE Machine Check Bank 4 Status 0xFA0000000003040C during Cross product stress - Sandstone lock stress + MLC CHA stress",https://hsdes.intel.com/appstore/article/#/14025652532
14025652531,p2-high,open.new,unknown,Oak Stream DMR Platforms,DMR,Johnson City AP,07/31/2025,"[MSS][PAIV.Serial_IO][FLEX DMR C0] MCE Machine Check Bank 4 Socket 1 Status 0xFA0000000001040C during Cross product stress - Sandstone lock stress + MLC CHA stress",https://hsdes.intel.com/appstore/article/#/14025652531
15012789674,p2-high,open.new,bmc_fw,agnostic,SPR,Archer City,02/13/2023,"[Quanta][S6X_PVT][FTx] After DC Warm Cycling + Sandstone 100 cycles, system hang and BMC SEC Uncorrectable ECC(CPU1_C0_Rank0/3)",https://hsdes.intel.com/appstore/article/#/15012789674
15012516807,p2-high,open.new,bmc_fw,agnostic,SPR,Archer City,12/19/2022,"[Quanta][S6X_PVT][FTx] DC Warm Cycling + Sandstone 50 cycles, SUT cannot power on by ipmi/WEBUI",https://hsdes.intel.com/appstore/article/#/15012516807
15012392649,p2-high,open.new,bmc_fw,agnostic,SPR,Archer City,11/28/2022,"[Quanta][S6Q_PVT][FTx] DC Warm Cycling + Sandstone 25 cycles, BMC record Uncorrectable ECC(CPU0_H0_Rank0) SEL",https://hsdes.intel.com/appstore/article/#/15012392649
15012392605,p2-high,open.new,bmc_fw,agnostic,SPR,Archer City,11/28/2022,"[Quanta][S6Q_PVT][FTx] DC Warm Cycling + Sandstone 25 cycles, BMC record CATERR SEL",https://hsdes.intel.com/appstore/article/#/15012392605
15012392566,p2-high,open.new,bmc_fw,agnostic,SPR,Archer City,11/28/2022,"[Quanta][S6Q_PVT][FTx] DC Warm Cycling + Sandstone 25 cycles, system stop on POST screen code 92",https://hsdes.intel.com/appstore/article/#/15012392566
15012391950,p2-high,open.verify_failed,bmc_fw,agnostic,SPR,Archer City,11/28/2022,"[Quanta][S6Q_PVT][FTx] DC Warm Cycling + Sandstone 25 cycles, BMC hardware watchdog timeout reset SEL",https://hsdes.intel.com/appstore/article/#/15012391950
15011943922,p2-high,open.new,hardware,agnostic,SPR,Archer City,09/12/2022,"[Quanta][FTx][S6X_PVT] SHC sandstone stress, system hang and BMC record CATERR (MCERR/IERR) SEL",https://hsdes.intel.com/appstore/article/#/15011943922
