platform,hsd_id,domain,status,owner,root_cause_summary,evidence_score,fix_validation_present,comments_present,attachments_present,validation_evidence,suggested_tier,why_selected,rejection_reasons,missing_evidence,promote_eligible,approval_status,human_approval,source_query_id,bank,socket,mcacod,mscod,reporting_ip,originating_ip
SRF,13011141638,MCA,rejected,linmatt2,,35,No,No,Yes,No validation evidence,REJECT,Open/rejected/non-terminal status,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,NO,REJECTED,PENDING,16027811005,,,,,,
UNKNOWN,13013367911,MCA,rejected,shashish,,35,No,Yes,Yes,No validation evidence,REJECT,Open/rejected/non-terminal status,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,NO,REJECTED,PENDING,16027523187,,,,,,
UNKNOWN,13013368252,MCA,rejected,shashish,,35,No,Yes,Yes,No validation evidence,REJECT,Open/rejected/non-terminal status,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,NO,REJECTED,PENDING,16027523187,,,,,,
UNKNOWN,22019703105,MCA,open,vimarti,,35,No,Yes,Yes,No validation evidence,REJECT,Open/rejected/non-terminal status,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,NO,REJECTED,PENDING,16022833305,,,,,,
UNKNOWN,22019799080,MCA,open,vimarti,,35,No,Yes,Yes,No validation evidence,REJECT,Open/rejected/non-terminal status,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,NO,REJECTED,PENDING,16022833305,,,,,,
CWF,14023831173,PCIe/CXL,rejected,vhosaman,,25,No,Yes,Yes,No validation evidence,REJECT,Open/rejected/non-terminal status,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,NO,REJECTED,PENDING,16027357901,,,,,,
GNR,13010785698,Other,rejected,jadelaoy,,25,No,No,Yes,No validation evidence,REJECT,Open/rejected/non-terminal status,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,NO,REJECTED,PENDING,16026853717,,,,,,
GNR,13010788085,Other,rejected,jadelaoy,,25,No,No,Yes,No validation evidence,REJECT,Open/rejected/non-terminal status,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,NO,REJECTED,PENDING,16026853717,,,,,,
GNR,13010788087,Other,rejected,jadelaoy,,25,No,No,Yes,No validation evidence,REJECT,Open/rejected/non-terminal status,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,NO,REJECTED,PENDING,16026853717,,,,,,
GNR,13010788089,Other,rejected,jadelaoy,,25,No,No,Yes,No validation evidence,REJECT,Open/rejected/non-terminal status,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,NO,REJECTED,PENDING,16026853717,,,,,,
GNR,13010788090,Other,rejected,jadelaoy,,25,No,No,Yes,No validation evidence,REJECT,Open/rejected/non-terminal status,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,NO,REJECTED,PENDING,16026853717,,,,,,
GNR,13010788091,Other,rejected,jadelaoy,,25,No,No,Yes,No validation evidence,REJECT,Open/rejected/non-terminal status,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,NO,REJECTED,PENDING,16026853717,,,,,,
GNR,13010788093,Other,rejected,jadelaoy,,25,No,No,Yes,No validation evidence,REJECT,Open/rejected/non-terminal status,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,NO,REJECTED,PENDING,16026853717,,,,,,
SRF,13011141637,Other,rejected,jessielu,,25,No,Yes,Yes,No validation evidence,REJECT,Open/rejected/non-terminal status,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,NO,REJECTED,PENDING,16027811005,,,,,,
SRF,13011141639,MCA,rejected,linmatt2,,25,No,No,Yes,No validation evidence,REJECT,Open/rejected/non-terminal status,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,NO,REJECTED,PENDING,16027811005,,,,,,
SRF,13011141640,MCA,rejected,linmatt2,,25,No,No,Yes,No validation evidence,REJECT,Open/rejected/non-terminal status,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,NO,REJECTED,PENDING,16027811005,,,,,,
SRF,13011141642,PCIe/CXL,rejected,jessielu,,25,No,No,Yes,No validation evidence,REJECT,Open/rejected/non-terminal status,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,NO,REJECTED,PENDING,16027811005,,,,,,
SRF,13011141643,Other,rejected,ptonongi,,25,No,No,Yes,No validation evidence,REJECT,Open/rejected/non-terminal status,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,NO,REJECTED,PENDING,16027811005,,,,,,
SRF,13011141645,Other,rejected,ptonongi,,25,No,Yes,Yes,No validation evidence,REJECT,Open/rejected/non-terminal status,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,NO,REJECTED,PENDING,16027811005,,,,,,
SRF,13011141646,PCIe/CXL,rejected,jessielu,,25,No,No,Yes,No validation evidence,REJECT,Open/rejected/non-terminal status,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,NO,REJECTED,PENDING,16027811005,,,,,,
SRF,13011141647,Other,rejected,jessielu,,25,No,Yes,Yes,No validation evidence,REJECT,Open/rejected/non-terminal status,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,NO,REJECTED,PENDING,16027811005,,,,,,
UNKNOWN,13013364737,Other,rejected,shashish,,25,No,Yes,Yes,No validation evidence,REJECT,Open/rejected/non-terminal status,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,NO,REJECTED,PENDING,16027523187,,,,,,
UNKNOWN,13013365077,Memory,rejected,shashish,,25,No,Yes,Yes,No validation evidence,REJECT,Open/rejected/non-terminal status,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,NO,REJECTED,PENDING,16027523187,,,,,,
UNKNOWN,13013365080,Other,rejected,shashish,,25,No,Yes,Yes,No validation evidence,REJECT,Open/rejected/non-terminal status,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,NO,REJECTED,PENDING,16027523187,,,,,,
UNKNOWN,13013368254,MCA,rejected,shashish,,25,No,Yes,Yes,No validation evidence,REJECT,Open/rejected/non-terminal status,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,NO,REJECTED,PENDING,16027523187,,,,,,
UNKNOWN,13013368257,MCA,rejected,shashish,,25,No,Yes,Yes,No validation evidence,REJECT,Open/rejected/non-terminal status,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,NO,REJECTED,PENDING,16027523187,,,,,,
UNKNOWN,13014085149,Memory,rejected,ryakkati,,25,No,Yes,Yes,No validation evidence,REJECT,Open/rejected/non-terminal status,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,NO,REJECTED,PENDING,16027523187,,,,,,
UNKNOWN,14021914647,MCA,open,vimarti,,25,No,Yes,Yes,No validation evidence,REJECT,Open/rejected/non-terminal status,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,NO,REJECTED,PENDING,16022833305,,,,,,
UNKNOWN,14021933048,Other,open,jquianzo,,25,No,Yes,Yes,No validation evidence,REJECT,Open/rejected/non-terminal status,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,NO,REJECTED,PENDING,16022833305,,,,,,
UNKNOWN,14022048858,MCA,open,vimarti,,25,No,Yes,Yes,No validation evidence,REJECT,Open/rejected/non-terminal status,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,NO,REJECTED,PENDING,16022833305,,,,,,
UNKNOWN,14027087976,Other,open,rbalaji,,25,No,No,Yes,No validation evidence,REJECT,Open/rejected/non-terminal status,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,NO,REJECTED,PENDING,14012297882,,,,,,
UNKNOWN,14027098529,Other,open,rbalaji,,25,No,No,Yes,No validation evidence,REJECT,Open/rejected/non-terminal status,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,NO,REJECTED,PENDING,14012297882,,,,,,
UNKNOWN,14027098531,Other,open,rbalaji,,25,No,No,Yes,No validation evidence,REJECT,Open/rejected/non-terminal status,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,NO,REJECTED,PENDING,14012297882,,,,,,
UNKNOWN,14027098532,Other,open,rbalaji,,25,No,No,Yes,No validation evidence,REJECT,Open/rejected/non-terminal status,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,NO,REJECTED,PENDING,14012297882,,,,,,
UNKNOWN,14027098533,PCIe/CXL,open,rbalaji,,25,No,No,Yes,No validation evidence,REJECT,Open/rejected/non-terminal status,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,NO,REJECTED,PENDING,14012297882,,,,,,
UNKNOWN,14027147092,Other,open,rbalaji,,25,No,No,Yes,No validation evidence,REJECT,Open/rejected/non-terminal status,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,NO,REJECTED,PENDING,14012297882,,,,,,
UNKNOWN,14027184382,Memory,open,rbalaji,,25,No,No,Yes,No validation evidence,REJECT,Open/rejected/non-terminal status,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,NO,REJECTED,PENDING,14012297882,,,,,,
UNKNOWN,14027184398,Memory,open,rbalaji,,25,No,No,Yes,No validation evidence,REJECT,Open/rejected/non-terminal status,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,NO,REJECTED,PENDING,14012297882,,,,,,
UNKNOWN,14027187022,Memory,open,rbalaji,,25,No,No,Yes,No validation evidence,REJECT,Open/rejected/non-terminal status,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,NO,REJECTED,PENDING,14012297882,,,,,,
UNKNOWN,14027187037,Memory,open,rbalaji,,25,No,No,Yes,No validation evidence,REJECT,Open/rejected/non-terminal status,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,NO,REJECTED,PENDING,14012297882,,,,,,
UNKNOWN,22019684757,PCIe/CXL,open,jquianzo,,25,No,Yes,Yes,No validation evidence,REJECT,Open/rejected/non-terminal status,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,NO,REJECTED,PENDING,16022833305,,,,,,
UNKNOWN,22019741379,PCIe/CXL,open,vimarti,,25,No,Yes,Yes,No validation evidence,REJECT,Open/rejected/non-terminal status,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,NO,REJECTED,PENDING,16022833305,,,,,,
UNKNOWN,22019783231,MCA,open,vimarti,,25,No,Yes,Yes,No validation evidence,REJECT,Open/rejected/non-terminal status,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,NO,REJECTED,PENDING,16022833305,,,,,,
CWF,14023830004,BIOS/Boot,rejected,,,15,No,Yes,Yes,No validation evidence,REJECT,Open/rejected/non-terminal status,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,independent root cause;reproduction or fix validation,NO,REJECTED,PENDING,16027357901,,,,,,
CWF,14023960264,MCA,rejected,gmuppala,,15,No,Yes,Yes,Root Cause Comment Only,REJECT,Open/rejected/non-terminal status,NON_TERMINAL_OR_REJECTED_STATUS;NO_FIX_VALIDATION,reproduction or fix validation,NO,REJECTED,PENDING,16027357901,,,,,,
